title,lon,lat,stopid,tag,dir
The Queensway At Roncesvalles Ave,-79.44646,43.6385699,6912,4321,E
Queen St West At Wilson Park Rd,-79.4426299,43.63936,6860,8722,E
Queen St West At Dowling Ave,-79.4399899,43.63989,6833,4032,E
Queen St West At Jameson Ave,-79.43752,43.6403899,6840,10323,E
Queen St West At Dunn Ave,-79.4346899,43.64096,6835,2136,E
Queen St West At Brock Ave,-79.4324199,43.6414,6836,9607,E
Queen St West At Dufferin St,-79.42874,43.6421499,6834,9255,E
Queen St West At Dufferin St West Side,-79.4291599,43.64219,14977,14701,W
Queen St West At Brock Ave,-79.43223,43.6415299,6839,7718,W
Queen St West At Ohara Ave,-79.4340399,43.64117,6845,1111,W
Queen St West At Lansdowne Ave,-79.43644,43.6406699,6842,5294,W
Queen St West At Sorauren Ave,-79.4407599,43.63981,6852,3798,W
Queen St West At Triller Ave,-79.4433999,43.6393,6857,4692,W
Queen St West At Roncesvalles Ave,-79.44574,43.6388899,6849,9459,W
